Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),Valid Row,Overrun Amount,Overrun Percentage,Cost Overrun
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,2019-06-18,2019-11-19,8/30/2019,76269.0,109497.0,109497.0,"DSF0000798463, DSF0000912540",True,33228.0,43.5668489163356,1.0
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,2019-09-06,2020-02-11,1/30/2020,372960.0,517577.0,505199.0,"DSF0000798463, DSF0000912540",True,132239.0,35.45661733161733,1.0
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,Complete,2021-05-03,2023-05-02,5/2/2023,7666299.0,7195306.0,6814721.0,"DSF0000798463, DSF0000912540",True,-851578.0,-11.108071834923214,0.0
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",Complete,2021-05-03,2023-05-02,5/2/2023,596773.0,339522.0,331532.0,"DSF0000798463, DSF0000912540",True,-265241.0,-44.44587808094535,0.0
1,M015,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2023-11-27,,3/13/2024,,70000.0,70000.0,DSF0001035620,False,,,
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,,,PNS,,195734.0,0.0,DSF0001086173,False,,,
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2024-02-19,,,,407270.0,0.0,DSF0001017369,False,,,
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,2021-04-13,2021-09-13,7/1/2021,68660.0,69579.0,69579.0,"DSF0001008800, DSF0000991942",True,919.0,1.3384794640256337,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,2021-07-06,2021-12-07,11/29/2021,343300.0,357509.0,291470.0,"DSF0001008800, DSF0000991942",True,-51830.0,-15.097582289542673,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,2022-07-18,2024-07-16,,7724250.0,7070196.0,3507739.0,"DSF0001008800, DSF0000991942",True,-4216511.0,-54.58796646923649,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,2022-07-18,2024-07-16,,480620.0,138371.0,138371.0,"DSF0001008800, DSF0000991942",True,-342249.0,-71.20989555157921,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-06-22,2023-10-23,7/6/2023,4240.0,1416.0,1416.0,DSF0001035045,True,-2824.0,-66.60377358490565,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-07-06,2024-01-03,12/13/2023,19080.0,5666.0,5666.0,DSF0001035045,True,-13414.0,-70.30398322851154,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-05-27,2025-05-26,,245920.0,224898.0,4211.0,DSF0001035045,True,-241709.0,-98.2876545217957,0.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-05-27,2025-05-26,,49844.0,30244.0,7348.0,DSF0001035045,True,-42496.0,-85.25800497552363,0.0
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,,,PNS,,141466.0,0.0,DSF0001035064,False,,,
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,,,PNS,,65000.0,0.0,DSF0001086175,False,,,
1,M019,P.S. 315 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2024-03-27,,4/3/2024,,65832.0,2197.0,DSF0001084187,False,,,
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,2021-05-26,2021-10-12,1/21/2022,124674.0,160738.0,160738.0,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",True,36064.0,28.926640678890546,1.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,2022-01-21,2022-06-22,5/10/2022,613841.0,519032.0,480193.0,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",True,-133648.0,-21.77241337740555,0.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,2022-09-19,2024-06-09,,12987707.0,12156977.0,10023612.0,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",True,-2964095.0,-22.822311898474457,0.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,2022-09-19,2024-06-09,,944133.0,263447.0,230167.0,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",True,-713966.0,-75.62133724803603,0.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,In-Progress,2024-06-11,2024-10-10,,5611.0,5611.0,984.0,DSF0001087468,True,-4627.0,-82.46301906968455,0.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,PNS,,,PNS,25248.0,25248.0,3936.0,DSF0001087468,False,,,
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,PNS,325412.0,325412.0,0.0,DSF0001087468,False,,,
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,PNS,60314.0,60314.0,0.0,DSF0001087468,False,,,
1,M020,P.S. 20 - MANHATTAN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,2019-03-22,,,,162518.0,0.0,DSF0000890659,False,,,
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,2021-07-07,,,,195021.0,0.0,DSF0001008690,False,,,
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2024-04-02,,4/9/2024,,65832.0,189.0,DSF0001084188,False,,,
