Project Geographic District ,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),Valid Row,Overrun Amount,Overrun Percentage,Cost Overrun
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/18/2019,11/19/2019,8/30/2019,76269,109497,109497,"DSF0000798463, DSF0000912540",TRUE,33228,43.56684892,1
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/6/2019,2/11/2020,1/30/2020,372960,517577,505199,"DSF0000798463, DSF0000912540",TRUE,132239,35.45661733,1
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,Complete,5/3/2021,5/2/2023,5/2/2023,7666299,7195306,6814721,"DSF0000798463, DSF0000912540",TRUE,-851578,-11.10807183,0
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",Complete,5/3/2021,5/2/2023,5/2/2023,596773,339522,331532,"DSF0000798463, DSF0000912540",TRUE,-265241,-44.44587808,0
1,M015,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/27/2023,,3/13/2024,,70000,70000,DSF0001035620,FALSE,,,
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,,,PNS,,195734,0,DSF0001086173,FALSE,,,
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,,,,407270,0,DSF0001017369,FALSE,,,
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,69579,69579,"DSF0001008800, DSF0000991942",TRUE,919,1.338479464,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,357509,291470,"DSF0001008800, DSF0000991942",TRUE,-51830,-15.09758229,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7070196,3507739,"DSF0001008800, DSF0000991942",TRUE,-4216511,-54.58796647,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,138371,138371,"DSF0001008800, DSF0000991942",TRUE,-342249,-71.20989555,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,1416,1416,DSF0001035045,TRUE,-2824,-66.60377358,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,5666,5666,DSF0001035045,TRUE,-13414,-70.30398323,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/27/2024,5/26/2025,,245920,224898,4211,DSF0001035045,TRUE,-241709,-98.28765452,0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/27/2024,5/26/2025,,49844,30244,7348,DSF0001035045,TRUE,-42496,-85.25800498,0
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,,,PNS,,141466,0,DSF0001035064,FALSE,,,
